year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,4,17,13,25,0.479,0.36167,16.38703,0,1
2017,4,19,13,11,,,73.96735,5,5
2017,4,20,13,55,,,,5,5
2017,4,21,13,0,0.7325,0.7325,35.618,1,1
2017,4,22,13,41,,,,5,5
2017,4,23,12,46,,,118.33337,5,5
2017,4,24,13,30,0.32467,0.21362,11.75693,1,3
2017,4,26,13,16,0.276,0.276,10.21079,0,0
2017,4,27,14,0,0.339,0.361,15.08037,1,1
2017,4,28,13,5,0.686,0.53833,34.80058,0,1
2017,4,29,13,46,0.677,0.707,39.78731,3,3
2017,4,29,13,50,0.6485,0.67,30.06219,3,3
2017,4,30,12,51,0.50083,0.4506,26.26857,3,3
2017,5,1,13,36,0.52,0.47633,33.59747,5,5
2017,5,2,12,41,0.305,0.28633,14.71453,1,1
2017,5,3,13,25,,,,5,5
2017,5,5,13,11,0.326,0.326,11.82945,0,0
2017,5,6,13,55,0.873,0.934,63.71778,3,3
2017,5,7,13,0,0.882,0.796,37.32766,0,1
2017,5,8,13,41,0.90133,0.934,33.52573,3,3
2017,5,9,12,46,0.4705,0.306,31.79868,3,3
2017,5,10,13,30,0.3605,0.446,18.50432,3,3
2017,5,12,13,16,0.676,0.4004,21.90941,1,3
2017,5,13,14,0,0.3345,0.347,15.58173,1,1
2017,5,14,13,5,0.54567,0.648,24.6133,3,3
2017,5,15,13,46,,,41.58279,5,5
2017,5,16,12,51,0.7915,0.78463,37.45548,3,3
2017,5,17,13,36,,,,5,5
2017,5,18,12,41,0.553,0.62343,33.85434,1,5
2017,5,19,13,25,0.19,0.2625,7.16236,1,3
2017,5,21,13,11,0.628,0.628,20.62062,0,0
2017,5,22,13,55,0.453,0.41075,15.54104,0,1
2017,5,23,13,0,0.28,0.28,10.34379,0,0
2017,5,24,13,41,0.4264,0.4348,18.91318,3,3
2017,5,25,12,46,0.511,0.749,20.9287,1,3
2017,5,26,13,30,0.41884,0.4292,14.6371,3,3
2017,5,28,13,16,0.5484,0.521,18.79956,3,3
2017,5,29,14,0,,,,5,5
2017,5,30,13,5,,,,5,5
2017,5,31,13,46,0.28783,0.2844,13.45326,3,3
2017,6,1,12,51,0.421,0.421,23.82288,1,1
2017,6,2,13,36,0.23,0.2295,8.57482,1,1
2017,6,3,12,41,0.595,0.583,25.15087,1,1
2017,6,4,13,25,0.243,0.243,9.13708,1,1
2017,6,6,13,11,0.675,,31.62309,5,5
2017,6,7,13,55,,,,5,5
2017,6,8,13,0,0.793,0.615,36.06977,3,5
2017,6,9,13,41,0.519,0.519,38.94054,3,3
2017,6,10,12,46,0.836,0.836,43.37873,3,3
2017,6,11,13,30,0.269,0.269,10.00027,3,3
2017,6,13,13,16,0.402,0.402,14.15252,0,0
2017,6,14,14,0,0.79178,0.80757,36.60094,3,3
2017,6,15,13,5,0.695,,29.62993,5,5
2017,6,16,13,46,0.57575,0.57575,36.99495,3,3
2017,6,17,12,51,,,,5,5
2017,6,18,13,35,0.35575,0.303,15.22896,1,1
2017,6,19,12,40,,,66.58165,5,5
2017,6,20,13,25,,,,5,5
2017,6,22,13,11,,,,5,5
2017,6,23,13,55,0.532,0.532,36.20113,5,5
2017,6,24,13,0,0.331,0.26933,11.98669,0,3
2017,6,25,13,41,0.3545,0.3545,12.73944,1,1
2017,6,26,12,46,0.2025,0.2,7.63322,1,1
2017,6,27,13,30,0.25025,0.23767,11.86751,3,3
2017,6,29,13,16,0.296,,19.14434,3,5
2017,6,30,14,0,0.4105,,27.3019,5,5
2017,7,1,13,5,,,,5,5
2017,7,2,13,46,,,,5,5
2017,7,3,12,51,,,,5,5
2017,7,4,13,35,,,,5,5
2017,7,5,12,40,,,,5,5
2017,7,6,13,21,,,,5,5
2017,7,6,13,25,,,,5,5
2017,7,8,13,11,0.335,,16.70646,3,5
2017,7,9,13,55,,,,5,5
2017,7,10,13,0,,,,5,5
2017,7,11,13,41,,,,5,5
2017,7,12,12,46,,,,5,5
2017,7,13,13,30,0.407,0.407,25.64169,3,3
2017,7,15,13,16,0.5085,,34.51206,3,5
2017,7,16,14,0,0.38667,0.476,24.40413,5,5
2017,7,17,13,5,0.255,0.255,16.43065,1,1
2017,7,18,13,46,0.2054,0.20845,8.87369,3,5
2017,7,19,12,51,,,,5,5
2017,7,20,13,35,0.268,0.22925,9.97941,3,5
2017,7,21,12,40,,,,5,5
2017,7,22,13,21,0.25067,0.239,16.08704,3,3
2017,7,22,13,25,0.2995,,19.43869,5,5
2017,7,24,13,11,,,,5,5
2017,7,25,13,55,,,,5,5
2017,7,26,13,0,,,,5,5
2017,7,27,13,41,0.261,0.323,9.69098,1,3
2017,7,28,12,46,,,,5,5
2017,7,29,13,30,,,,5,5
2017,7,31,13,16,0.344,,18.37404,3,5
2017,8,1,14,0,,,,5,5
2017,8,2,13,5,,,,5,5
2017,8,3,13,46,,,,5,5
2017,8,4,12,51,,,,5,5
2017,8,5,13,35,0.65,,21.44051,5,5
2017,8,6,12,40,,,,5,5
2017,8,7,13,21,0.528,,35.93959,3,5
2017,8,7,13,25,0.683,,47.35481,3,5
2017,8,9,13,11,,,,5,5
