year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,5,16,11,20,0.90333,0.8885,68.51188,5,5
2017,5,17,10,25,0.521,0.51957,23.09651,3,5
2017,5,18,11,6,0.343,0.42,12.34918,0,1
2017,5,19,10,11,0.21,0.2434,7.9301,0,1
2017,5,20,10,55,0.444,0.444,15.35811,0,0
2017,5,22,10,41,0.49,0.494,16.69863,0,1
2017,5,23,11,25,0.089,0.089,5.69549,0,0
2017,5,24,10,30,0.389,0.333,13.78537,0,1
2017,5,25,11,15,0.483,0.483,32.75087,0,0
2017,5,26,10,20,0.701,0.701,41.83996,3,3
2017,5,27,11,1,,,,5,5
2017,5,29,10,50,0.494,0.494,16.81518,1,1
2017,5,31,10,36,0.29533,0.23957,14.25609,1,3
2017,6,1,11,20,0.2795,0.298,18.04463,1,1
2017,6,2,10,25,0.335,0.285,12.12244,0,1
2017,6,3,11,6,0.53233,0.571,32.21029,1,1
2017,6,4,10,11,0.352,0.352,12.64757,0,0
2017,6,5,10,55,0.439,0.439,27.79908,5,5
2017,6,7,10,41,,,,5,5
2017,6,8,11,25,0.7735,0.776,51.24827,1,1
2017,6,9,10,30,0.53218,0.54163,25.05541,3,3
2017,6,10,11,15,0.237,0.237,15.18276,1,1
2017,6,11,10,20,0.907,0.968,34.2506,3,3
2017,6,12,11,1,0.593,0.5085,36.5841,3,3
2017,6,14,10,50,0.70044,0.6808,32.30816,3,3
2017,6,16,10,36,,,,5,5
2017,6,17,11,20,0.418,,27.89634,5,5
2017,6,18,10,25,0.246,0.2945,9.19592,0,1
2017,6,19,11,6,0.567,0.567,18.89143,0,0
2017,6,20,10,11,,,,5,5
2017,6,21,10,55,,,,5,5
2017,6,23,10,41,0.619,,40.37906,3,5
2017,6,24,11,25,0.198,,12.67458,1,5
2017,6,25,10,30,0.28925,0.287,18.71801,3,3
2017,6,26,11,15,0.1205,0.1205,7.70724,1,1
2017,6,27,10,20,,,,5,5
2017,6,28,11,1,,,,5,5
2017,6,30,10,50,0.4882,0.447,33.01707,3,3
2017,7,2,10,36,,,,5,5
2017,7,3,11,20,,,,5,5
2017,7,4,10,25,,,,5,5
2017,7,5,11,6,,,,5,5
2017,7,6,10,11,,,,5,5
2017,7,7,10,55,0.375,0.3835,24.76228,5,5
2017,7,9,10,41,,,,5,5
2017,7,10,11,26,,,,5,5
2017,7,11,10,31,,,,5,5
2017,7,12,11,15,,,,5,5
2017,7,13,10,20,0.2932,0.2765,19.01365,3,3
2017,7,14,11,1,0.2805,0.2805,18.11841,3,3
2017,7,16,10,50,0.3224,0.33175,21.08311,3,3
2017,7,18,10,36,0.206,0.1095,13.19804,0,1
2017,7,19,11,20,0.203,0.106,12.96805,0,1
2017,7,20,10,25,,,,5,5
2017,7,21,11,6,,,,5,5
2017,7,22,10,11,,,,5,5
2017,7,23,10,55,,,,5,5
2017,7,25,10,41,,,,5,5
2017,7,25,10,45,,,,5,5
2017,7,26,11,26,,,,5,5
2017,7,27,10,31,,,,5,5
2017,7,28,11,15,0.413,,27.51844,3,5
2017,7,29,10,20,,,,5,5
2017,7,30,11,1,,,,5,5
2017,8,1,10,50,,,,5,5
2017,8,3,10,36,,,,5,5
2017,8,4,11,20,,,,5,5
2017,8,5,10,25,,,,5,5
2017,8,6,11,6,0.46,,30.96447,3,5
2017,8,7,10,11,,,,5,5
2017,8,8,10,55,,,,5,5
2017,8,10,10,41,,,,5,5
2017,8,10,10,45,,,,5,5
2017,8,11,11,26,,,,5,5
2017,8,12,10,31,,,,5,5
2017,8,13,11,15,,,,5,5
2017,8,14,10,20,,,,5,5
2017,8,15,11,1,,,,5,5
2017,8,17,10,50,,,,5,5
2017,8,19,10,36,,,,5,5
2017,8,20,11,20,,,,5,5
2017,8,21,10,25,,,,5,5
2017,8,22,11,6,,,,5,5
2017,8,23,10,11,,,,5,5
2017,8,24,10,55,0.293,0.191,10.75085,1,3
2017,8,26,10,41,0.14,0.14,8.99759,3,3
2017,8,26,10,45,0.322,0.322,11.70121,0,0
2017,8,27,11,26,,,,5,5
2017,8,28,10,31,,,,5,5
2017,8,29,11,15,0.197,,11.0507,3,5
2017,8,30,10,20,,,,5,5
2017,8,31,11,1,,,,5,5
2017,9,2,10,50,,,,5,5
2017,9,4,10,36,0.353,,12.70762,3,5
2017,9,5,11,20,0.25033,0.279,13.67077,1,3
2017,9,6,10,25,0.735,0.735,23.67432,5,5
2017,9,7,11,6,0.515,0.4845,26.10441,1,3
2017,9,8,10,11,0.931,0.767,28.51652,3,5
2017,9,9,10,55,0.43843,0.41,19.30752,3,3
2017,9,11,10,41,0.226,,14.4451,1,5
2017,9,11,10,45,0.36467,0.33917,13.03214,1,3
2017,9,12,11,26,0.1785,0.615,10.42673,1,3
2017,9,13,10,31,0.1525,0.166,8.32503,3,3
2017,9,14,11,15,0.33833,0.351,19.57384,1,1
2017,9,15,10,20,,,,5,5
