Profile Data:
Time                    	P                      	T    	Hu                 	Ws   	Wd          	Long.    	Lat.     	Geopot	Dewp.
[sec]                   	[hPa]                  	[°C] 	[%]                	[m/s]	[°]         	[°]      	[°]      	[m]   	[°C]
0                       	873.5                  	5.1  	100                	0.3  	132         	85.289643	27.681813	1311  	5.1
1                       	872.8                  	5.4  	99                 	0.3  	132         	85.289642	27.681819	1318  	5.2
2                       	872.1                  	5.7  	97                 	0.4  	131         	85.289640	27.681825	1324  	5.4
3                       	871.4                  	6.1  	96                 	0.4  	131         	85.289639	27.681831	1331  	5.5
4                       	870.7                  	6.4  	95                 	0.4  	131         	85.289638	27.681837	1337  	5.6
5                       	870.0                  	6.7  	94                 	0.4  	131         	85.289637	27.681843	1344  	5.7
6                       	869.3                  	7.0  	92                 	0.5  	131         	85.289636	27.681849	1350  	5.9
7                       	868.6                  	7.1  	91                 	0.5  	131         	85.289635	27.681855	1357  	5.7
8                       	867.9                  	7.1  	90                 	0.5  	130         	85.289633	27.681861	1363  	5.6
9                       	867.2                  	7.0  	90                 	0.6  	130         	85.289632	27.681867	1370  	5.5
10                      	866.6                  	7.0  	89                 	0.6  	130         	85.289631	27.681873	1377  	5.4
11                      	865.9                  	6.9  	89                 	0.6  	130         	85.289630	27.681879	1383  	5.2
12                      	865.2                  	6.9  	88                 	0.6  	130         	85.289629	27.681885	1390  	5.1
13                      	864.5                  	6.9  	88                 	0.7  	130         	85.289627	27.681891	1396  	5.0
14                      	863.8                  	6.8  	88                 	0.7  	130         	85.289626	27.681897	1403  	4.9
15                      	863.2                  	6.8  	87                 	0.7  	130         	85.289623	27.681904	1409  	4.8
16                      	862.5                  	6.8  	87                 	0.7  	130         	85.289617	27.681915	1415  	4.7
17                      	861.8                  	6.7  	86                 	0.8  	130         	85.289610	27.681927	1422  	4.6
18                      	861.2                  	6.7  	86                 	0.8  	130         	85.289603	27.681938	1428  	4.5
19                      	860.5                  	6.7  	85                 	0.8  	130         	85.289596	27.681949	1434  	4.4
20                      	859.9                  	6.7  	85                 	0.9  	130         	85.289589	27.681960	1440  	4.4
21                      	859.2                  	6.8  	85                 	0.9  	130         	85.289582	27.681971	1447  	4.4
22                      	858.6                  	6.8  	85                 	0.9  	130         	85.289576	27.681982	1453  	4.4
23                      	857.9                  	6.9  	84                 	0.9  	130         	85.289569	27.681993	1459  	4.4
24                      	857.2                  	6.9  	84                 	1.0  	130         	85.289562	27.682004	1465  	4.4
25                      	856.6                  	7.0  	84                 	1.0  	129         	85.289555	27.682015	1472  	4.5
26                      	856.0                  	7.0  	84                 	1.0  	129         	85.289548	27.682027	1478  	4.5
27                      	855.3                  	7.1  	83                 	1.1  	129         	85.289542	27.682038	1484  	4.5
28                      	854.7                  	7.1  	83                 	1.1  	129         	85.289535	27.682049	1490  	4.5
29                      	854.0                  	7.2  	83                 	1.1  	129         	85.289528	27.682060	1497  	4.5
30                      	853.4                  	7.3  	83                 	1.1  	129         	85.289521	27.682071	1503  	4.5
31                      	852.7                  	7.3  	82                 	1.2  	130         	85.289514	27.682082	1509  	4.5
32                      	852.1                  	7.4  	82                 	1.2  	131         	85.289507	27.682093	1515  	4.5
33                      	851.4                  	7.4  	82                 	1.2  	131         	85.289501	27.682104	1522  	4.5
34                      	850.8                  	7.4  	82                 	1.2  	132         	85.289494	27.682115	1528  	4.5
35                      	850.1                  	7.5  	81                 	1.3  	132         	85.289487	27.682127	1534  	4.5
36                      	849.5                  	7.5  	81                 	1.3  	133         	85.289480	27.682138	1540  	4.5
37                      	848.8                  	7.5  	81                 	1.3  	133         	85.289473	27.682149	1547  	4.5
38                      	848.2                  	7.6  	81                 	1.3  	134         	85.289467	27.682160	1553  	4.5
39                      	847.6                  	7.6  	81                 	1.3  	134         	85.289460	27.682171	1559  	4.5
40                      	846.9                  	7.6  	80                 	1.4  	135         	85.289453	27.682182	1565  	4.4
41                      	846.3                  	7.6  	80                 	1.4  	135         	85.289446	27.682193	1571  	4.4
42                      	845.6                  	7.7  	80                 	1.4  	135         	85.289439	27.682204	1578  	4.4
43                      	845.0                  	7.7  	80                 	1.4  	136         	85.289433	27.682215	1584  	4.4
44                      	844.4                  	7.7  	79                 	1.5  	136         	85.289415	27.682226	1590  	4.4
45                      	843.7                  	7.7  	79                 	1.5  	137         	85.289382	27.682235	1597  	4.4
46                      	843.1                  	7.8  	79                 	1.5  	137         	85.289349	27.682245	1603  	4.3
47                      	842.4                  	7.8  	79                 	1.5  	137         	85.289316	27.682254	1609  	4.3
48                      	841.8                  	7.8  	78                 	1.6  	138         	85.289282	27.682264	1616  	4.3
49                      	841.1                  	7.8  	78                 	1.6  	138         	85.289249	27.682273	1622  	4.3
50                      	840.5                  	7.8  	78                 	1.6  	138         	85.289216	27.682283	1628  	4.2
51                      	839.8                  	7.8  	78                 	1.6  	139         	85.289183	27.682292	1635  	4.2
52                      	839.2                  	7.8  	78                 	1.7  	139         	85.289150	27.682302	1641  	4.2
53                      	838.5                  	7.8  	77                 	1.7  	139         	85.289116	27.682311	1647  	4.1
54                      	837.9                  	7.8  	77                 	1.7  	139         	85.289083	27.682321	1654  	4.1
55                      	837.3                  	7.8  	77                 	1.7  	140         	85.289050	27.682330	1660  	4.1
56                      	836.6                  	7.8  	77                 	1.8  	140         	85.289017	27.682340	1666  	4.0
57                      	836.0                  	7.9  	77                 	1.8  	140         	85.288984	27.682349	1673  	4.0
58                      	835.3                  	7.9  	76                 	1.8  	141         	85.288951	27.682359	1679  	4.0
59                      	834.7                  	7.9  	76                 	1.8  	141         	85.288917	27.682368	1685  	3.9
60                      	834.0                  	7.9  	76                 	1.9  	141         	85.288884	27.682377	1692  	3.9
61                      	833.4                  	7.9  	76                 	2.0  	137         	85.288851	27.682387	1698  	3.9
62                      	832.8                  	7.9  	76                 	2.1  	134         	85.288818	27.682396	1704  	3.9
63                      	832.1                  	8.0  	75                 	2.2  	131         	85.288785	27.682406	1711  	3.9
64                      	831.5                  	8.0  	75                 	2.3  	128         	85.288751	27.682415	1717  	3.9
65                      	830.8                  	8.0  	75                 	2.4  	125         	85.288718	27.682425	1723  	3.9
66                      	830.2                  	8.0  	75                 	2.5  	123         	85.288685	27.682434	1730  	3.9
67                      	829.6                  	8.1  	75                 	2.6  	121         	85.288652	27.682444	1736  	3.9
68                      	828.9                  	8.1  	75                 	2.7  	118         	85.288619	27.682453	1742  	3.9
69                      	828.3                  	8.1  	74                 	2.8  	117         	85.288586	27.682463	1749  	3.9
70                      	827.7                  	8.1  	74                 	2.9  	115         	85.288552	27.682472	1755  	3.9
71                      	827.0                  	8.2  	74                 	3.0  	113         	85.288519	27.682482	1761  	3.8
72                      	826.4                  	8.2  	74                 	3.2  	112         	85.288486	27.682491	1768  	3.8
73                      	825.8                  	8.2  	74                 	3.3  	110         	85.288453	27.682501	1774  	3.8
74                      	825.1                  	8.1  	74                 	3.4  	109         	85.288420	27.682510	1780  	3.7
75                      	824.5                  	8.1  	73                 	3.5  	108         	85.288373	27.682515	1787  	3.7
76                      	823.8                  	8.1  	73                 	3.6  	106         	85.288326	27.682520	1793  	3.6
77                      	823.2                  	8.0  	73                 	3.7  	105         	85.288279	27.682524	1800  	3.5
78                      	822.6                  	8.0  	73                 	3.8  	104         	85.288232	27.682529	1806  	3.5
79                      	821.9                  	8.0  	73                 	3.9  	103         	85.288185	27.682534	1813  	3.4
80                      	821.3                  	8.0  	72                 	4.0  	102         	85.288138	27.682539	1819  	3.3
81                      	820.6                  	7.9  	72                 	4.1  	102         	85.288091	27.682543	1826  	3.3
82                      	820.0                  	7.9  	72                 	4.2  	101         	85.288044	27.682548	1832  	3.2
83                      	819.4                  	7.9  	72                 	4.3  	100         	85.287997	27.682553	1838  	3.1
84                      	818.7                  	7.8  	72                 	4.5  	099         	85.287950	27.682558	1845  	3.1
85                      	818.1                  	7.8  	71                 	4.6  	099         	85.287903	27.682562	1851  	3.0
86                      	817.4                  	7.8  	71                 	4.7  	098         	85.287856	27.682567	1858  	2.9
87                      	816.8                  	7.8  	71                 	4.8  	098         	85.287809	27.682572	1864  	2.9
88                      	816.2                  	7.7  	71                 	4.9  	097         	85.287762	27.682577	1871  	2.8
89                      	815.5                  	7.7  	71                 	5.0  	097         	85.287715	27.682581	1877  	2.7
90                      	814.9                  	7.7  	71                 	5.1  	096         	85.287668	27.682586	1884  	2.7
91                      	814.3                  	7.6  	70                 	5.0  	096         	85.287621	27.682591	1890  	2.6
92                      	813.6                  	7.6  	70                 	5.0  	096         	85.287574	27.682596	1896  	2.5
93                      	813.0                  	7.6  	70                 	4.9  	096         	85.287527	27.682601	1903  	2.5
94                      	812.4                  	7.5  	70                 	4.9  	097         	85.287480	27.682605	1909  	2.4
95                      	811.7                  	7.5  	70                 	4.8  	097         	85.287433	27.682610	1916  	2.4
96                      	811.1                  	7.5  	70                 	4.8  	097         	85.287386	27.682615	1922  	2.3
97                      	810.5                  	7.5  	69                 	4.7  	097         	85.287339	27.682620	1929  	2.2
98                      	809.8                  	7.4  	69                 	4.6  	097         	85.287292	27.682624	1935  	2.2
99                      	809.2                  	7.4  	69                 	4.6  	097         	85.287245	27.682629	1941  	2.1
100                     	808.6                  	7.4  	69                 	4.5  	098         	85.287198	27.682634	1948  	2.0
101                     	807.9                  	7.3  	69                 	4.5  	098         	85.287151	27.682639	1954  	2.0
102                     	807.3                  	7.3  	69                 	4.4  	098         	85.287104	27.682643	1961  	1.9
103                     	806.6                  	7.2  	69                 	4.3  	098         	85.287057	27.682648	1967  	1.8
104                     	806.0                  	7.2  	69                 	4.3  	098         	85.287010	27.682653	1974  	1.8
105                     	805.3                  	7.1  	68                 	4.2  	099         	85.286967	27.682659	1980  	1.7
106                     	804.7                  	7.1  	68                 	4.2  	099         	85.286943	27.682673	1987  	1.7
107                     	804.1                  	7.0  	68                 	4.1  	099         	85.286920	27.682686	1994  	1.6
108                     	803.4                  	7.0  	68                 	4.0  	099         	85.286897	27.682700	2000  	1.5
109                     	802.7                  	6.9  	68                 	4.0  	099         	85.286873	27.682713	2007  	1.5
110                     	802.1                  	6.9  	68                 	3.9  	100         	85.286850	27.682727	2014  	1.4
111                     	801.4                  	6.8  	68                 	3.9  	100         	85.286827	27.682741	2021  	1.3
112                     	800.8                  	6.8  	68                 	3.8  	101         	85.286804	27.682754	2028  	1.3
113                     	800.1                  	6.7  	68                 	3.7  	102         	85.286780	27.682768	2034  	1.2
114                     	799.4                  	6.7  	68                 	3.7  	103         	85.286757	27.682782	2041  	1.1
115                     	798.8                  	6.6  	68                 	3.6  	104         	85.286734	27.682795	2048  	1.1
116                     	798.1                  	6.5  	68                 	3.6  	105         	85.286710	27.682809	2055  	1.0
117                     	797.5                  	6.5  	68                 	3.5  	106         	85.286687	27.682822	2061  	1.0
118                     	796.8                  	6.4  	68                 	3.4  	107         	85.286664	27.682836	2068  	0.9
119                     	796.2                  	6.3  	68                 	3.4  	109         	85.286641	27.682850	2075  	0.9
120                     	795.5                  	6.3  	68                 	3.3  	110         	85.286617	27.682863	2082  	0.8
121                     	794.8                  	6.2  	68                 	3.2  	111         	85.286594	27.682877	2089  	0.7
122                     	794.2                  	6.1  	68                 	3.2  	112         	85.286571	27.682891	2095  	0.7
123                     	793.5                  	6.1  	68                 	3.1  	114         	85.286547	27.682904	2102  	0.6
124                     	792.9                  	6.0  	68                 	3.1  	115         	85.286524	27.682918	2109  	0.6
125                     	792.2                  	6.0  	68                 	3.0  	116         	85.286501	27.682931	2116  	0.5
126                     	791.6                  	5.9  	68                 	2.9  	118         	85.286477	27.682945	2122  	0.5
127                     	790.9                  	5.8  	68                 	2.9  	120         	85.286454	27.682959	2129  	0.4
128                     	790.3                  	5.8  	68                 	2.8  	121         	85.286431	27.682972	2136  	0.4
129                     	789.6                  	5.7  	68                 	2.7  	123         	85.286408	27.682986	2143  	0.3
130                     	789.0                  	5.6  	68                 	2.7  	125         	85.286384	27.683000	2150  	0.3
131                     	788.3                  	5.6  	68                 	2.7  	126         	85.286361	27.683013	2156  	0.2
132                     	787.6                  	5.5  	68                 	2.7  	127         	85.286338	27.683027	2163  	0.2
133                     	787.0                  	5.5  	69                 	2.7  	128         	85.286314	27.683040	2170  	0.2
134                     	786.3                  	5.4  	69                 	2.8  	129         	85.286291	27.683054	2177  	0.1
135                     	785.7                  	5.3  	69                 	2.8  	131         	85.286268	27.683068	2183  	0.1
136                     	785.0                  	5.3  	69                 	2.8  	132         	85.286247	27.683088	2190  	0.0
137                     	784.4                  	5.2  	69                 	2.8  	133         	85.286230	27.683114	2197  	0.0
138                     	783.7                  	5.1  	69                 	2.8  	134         	85.286212	27.683141	2204  	0.0
139                     	783.0                  	5.1  	69                 	2.8  	135         	85.286194	27.683168	2211  	-0.1
140                     	782.4                  	5.0  	69                 	2.9  	136         	85.286176	27.683194	2218  	-0.1
141                     	781.7                  	5.0  	69                 	2.9  	138         	85.286159	27.683221	2225  	-0.2
142                     	781.0                  	4.9  	69                 	2.9  	139         	85.286141	27.683247	2232  	-0.2
143                     	780.4                  	4.8  	69                 	2.9  	140         	85.286123	27.683274	2239  	-0.3
144                     	779.7                  	4.8  	69                 	2.9  	141         	85.286106	27.683301	2246  	-0.3
145                     	779.0                  	4.7  	70                 	2.9  	142         	85.286088	27.683327	2253  	-0.4
146                     	778.4                  	4.7  	70                 	3.0  	143         	85.286070	27.683354	2260  	-0.4
147                     	777.7                  	4.6  	70                 	3.0  	144         	85.286052	27.683381	2267  	-0.5
148                     	777.0                  	4.5  	70                 	3.0  	145         	85.286035	27.683407	2274  	-0.5
149                     	776.4                  	4.5  	70                 	3.0  	146         	85.286017	27.683434	2281  	-0.5
150                     	775.7                  	4.4  	70                 	3.0  	147         	85.285999	27.683460	2288  	-0.6
151                     	775.1                  	4.4  	70                 	3.1  	147         	85.285982	27.683487	2295  	-0.6
152                     	774.4                  	4.3  	70                 	3.1  	147         	85.285964	27.683514	2302  	-0.7
153                     	773.7                  	4.3  	70                 	3.1  	147         	85.285946	27.683540	2309  	-0.7
154                     	773.1                  	4.2  	70                 	3.2  	147         	85.285928	27.683567	2315  	-0.8
155                     	772.4                  	4.1  	70                 	3.2  	148         	85.285911	27.683593	2322  	-0.8
156                     	771.8                  	4.1  	70                 	3.2  	148         	85.285893	27.683620	2329  	-0.9
157                     	771.1                  	4.0  	70                 	3.3  	148         	85.285875	27.683647	2336  	-0.9
158                     	770.4                  	3.9  	70                 	3.3  	148         	85.285858	27.683673	2343  	-0.9
159                     	769.8                  	3.9  	70                 	3.3  	148         	85.285840	27.683700	2350  	-1.0
