Profile Data:
Time                    	P                      	T    	Hu                 	Ws   	Wd          	Long.    	Lat.     	Geopot	Dewp.
[sec]                   	[hPa]                  	[°C] 	[%]                	[m/s]	[°]         	[°]      	[°]      	[m]   	[°C]
0                       	876.0                  	1.5  	100                	0.9  	202         	85.289636	27.681809	1311  	1.5
1                       	875.2                  	1.9  	99                 	0.9  	200         	85.289635	27.681814	1318  	1.7
2                       	874.5                  	2.3  	97                 	0.9  	197         	85.289634	27.681818	1325  	1.9
3                       	873.7                  	2.7  	96                 	0.9  	195         	85.289633	27.681823	1332  	2.0
4                       	873.0                  	3.1  	94                 	0.9  	192         	85.289632	27.681828	1339  	2.2
5                       	872.2                  	3.5  	93                 	0.9  	189         	85.289631	27.681833	1346  	2.4
6                       	871.4                  	3.9  	91                 	0.9  	186         	85.289630	27.681838	1353  	2.5
7                       	870.7                  	4.3  	90                 	0.9  	182         	85.289629	27.681842	1360  	2.7
8                       	869.9                  	4.6  	88                 	0.9  	179         	85.289628	27.681847	1367  	2.9
9                       	869.2                  	5.0  	87                 	0.9  	175         	85.289628	27.681852	1375  	3.1
10                      	868.4                  	5.3  	86                 	1.0  	172         	85.289627	27.681857	1382  	3.2
11                      	867.7                  	5.4  	85                 	1.0  	168         	85.289626	27.681861	1389  	3.1
12                      	866.9                  	5.4  	84                 	1.0  	164         	85.289625	27.681866	1396  	3.0
13                      	866.2                  	5.5  	83                 	1.0  	161         	85.289624	27.681871	1403  	2.8
14                      	865.5                  	5.5  	82                 	1.0  	157         	85.289623	27.681876	1410  	2.7
15                      	864.8                  	5.6  	81                 	1.0  	153         	85.289615	27.681883	1417  	2.6
16                      	864.1                  	5.6  	80                 	1.0  	149         	85.289603	27.681891	1423  	2.5
17                      	863.4                  	5.7  	79                 	1.0  	146         	85.289591	27.681899	1430  	2.3
18                      	862.7                  	5.7  	78                 	1.0  	143         	85.289579	27.681907	1436  	2.2
19                      	862.0                  	5.8  	77                 	1.0  	139         	85.289567	27.681915	1442  	2.1
20                      	861.3                  	5.9  	76                 	1.0  	136         	85.289556	27.681924	1449  	2.0
21                      	860.6                  	5.9  	76                 	1.0  	133         	85.289544	27.681932	1455  	2.0
22                      	860.0                  	6.0  	75                 	1.0  	131         	85.289532	27.681940	1462  	2.0
23                      	859.3                  	6.1  	75                 	1.0  	128         	85.289520	27.681948	1468  	2.0
24                      	858.6                  	6.2  	74                 	1.0  	125         	85.289508	27.681956	1475  	1.9
25                      	857.9                  	6.2  	74                 	1.0  	123         	85.289496	27.681964	1481  	1.9
26                      	857.3                  	6.3  	73                 	1.0  	121         	85.289485	27.681973	1487  	1.9
27                      	856.6                  	6.4  	73                 	1.0  	119         	85.289473	27.681981	1494  	1.9
28                      	855.9                  	6.5  	72                 	1.1  	117         	85.289461	27.681989	1500  	1.8
29                      	855.3                  	6.6  	72                 	1.1  	115         	85.289449	27.681997	1507  	1.8
30                      	854.6                  	6.6  	71                 	1.1  	114         	85.289437	27.682005	1513  	1.8
31                      	853.9                  	6.7  	71                 	1.1  	115         	85.289425	27.682013	1519  	1.8
32                      	853.3                  	6.8  	70                 	1.2  	115         	85.289414	27.682022	1526  	1.7
33                      	852.6                  	6.9  	70                 	1.2  	116         	85.289402	27.682030	1532  	1.7
34                      	851.9                  	6.9  	69                 	1.2  	117         	85.289390	27.682038	1539  	1.7
35                      	851.3                  	7.0  	69                 	1.3  	118         	85.289378	27.682046	1545  	1.7
36                      	850.6                  	7.1  	68                 	1.3  	118         	85.289366	27.682054	1551  	1.6
