Day hour min     AOD QC2     AOD QC3  conc (um/cm2) avgbinQC2 avgbinQC3
 01   10  25        -NaN        -NaN           -NaN     5           5
 02   11  06     0.23500     0.23500       15.04022     0           0
 03   10  11     0.60950     0.61300       21.27546     1           1
 04   10  55     0.67300     0.67300       21.81666     0           0
 06   10  41     0.67350     0.67350       21.79558     1           1
 07   11  25     0.88500     0.85033       62.78964     0           1
 08   10  30     0.83067     0.78800       32.44041     3           3
 09   11  15        -NaN        -NaN           -NaN     5           5
 10   10  20     0.50100     0.50100       16.98942     5           5
 11   11  01     0.51900     0.50171       29.14708     3           3
 13   10  50     0.39000     0.34750       13.74936     1           1
 15   10  36     0.89000     0.85300       34.36531     1           5
 16   11  20     0.90333     0.88850       68.51188     5           5
 17   10  25     0.52100     0.51957       23.09651     3           5
 18   11  06     0.34300     0.42000       12.34918     0           1
 19   10  11     0.21000     0.24340        7.93010     0           1
 20   10  55     0.44400     0.44400       15.35811     0           0
 22   10  41     0.49000     0.49400       16.69863     0           1
 23   11  25     0.08900     0.08900        5.69549     0           0
 24   10  30     0.38900     0.33300       13.78537     0           1
 25   11  15     0.48300     0.48300       32.75087     0           0
 26   10  20     0.70100     0.70100       41.83996     3           3
 27   11  01        -NaN        -NaN           -NaN     5           5
 29   10  50     0.49400     0.49400       16.81518     1           1
 31   10  36     0.29533     0.23957       14.25609     1           3
